,invRes,preco,juros,infla,taxap,gz,crise
1987-03-31,246.672,1.0064073512634983,0.09114615384615385,0.01206457359858737,0.10523664728195901,,0
1987-06-30,249.69299999999998,1.0253116421051536,0.10343076923076923,0.015114675587579729,0.12127137306351765,,0
1987-09-30,249.96900000000002,1.046065209124485,0.10481538461538463,0.015016970457316411,0.1240247191891626,,0
1987-12-31,252.825,1.064745503133351,0.10864285714285715,0.013132234387201543,0.135177782114269,,0
1988-03-31,250.115,1.0825402282684005,0.10068333333333333,0.012615230122863993,0.12121513413936837,0.014708009761224532,0
1988-06-30,255.51,1.100798574755036,0.10359230769230769,0.013617731973858878,0.12458282421618251,0.025429518785123624,0
1988-09-30,257.495,1.1221616215287002,0.10496428571428573,0.015265130213883246,0.12379987062693895,0.03372367253848445,0
1988-12-31,261.681,1.141888970500138,0.1041,0.013016930554990216,0.12675659030314795,0.03997578141709188,0
1989-03-31,260.884,1.1623195653419598,0.1082,0.013368504810381612,0.13382407600645346,0.05066499304245371,0
1989-06-30,255.792,1.1766866180124709,0.10636153846153847,0.008329089613670237,0.14101975781240636,0.0011082367539635416,0
1989-09-30,255.498,1.1854277037199101,0.10007692307692308,0.005547876373192665,0.13465852665369507,-0.007535607510986973,0
1989-12-31,251.88400000000001,1.1956430011408212,0.09813846153846156,0.0069574185295713685,0.12797392926543608,-0.03271019916078169,0
1990-03-31,256.004,1.204123625414785,0.10131538461538461,0.005401788719380157,0.13739306309318405,-0.017464492157536208,0
1990-06-30,246.896,1.207665900910052,0.10323846153846153,0.0016837408963635244,0.14946247112474337,-0.030669148923735345,0
1990-09-30,234.507,1.20321721962629,0.10103076923076924,-0.003211079421215811,0.1561055111315531,-0.06182113103408813,0
1990-12-31,221.268,1.1941896263420275,0.09959230769230769,-0.0061263336223687515,0.15989776317506443,-0.08096837745763655,0
1991-03-31,210.28900000000002,1.1835836367709034,0.09500769230769232,-0.006851543187692789,0.15189594313445753,-0.10115938221178591,0
1991-06-30,217.78799999999998,1.184120187323863,0.09522307692307692,0.001310376550070852,0.13423282133554335,-0.07939941979092496,0
1991-09-30,226.483,1.1895794589695106,0.09273076923076921,0.002907641581522624,0.12609145973237948,-0.03023311728062362,0
1991-12-31,230.055,1.188423010204879,0.08689999999999998,-0.0009848225674285338,0.12308729191714153,0.046137176243947135,0
1992-03-31,242.362,1.1903243786692503,0.0868846153846154,0.0014725965047561185,0.11809202129938284,0.27487962736338806,0
1992-06-30,253.15900000000002,1.193236337495507,0.08677692307692308,0.001766503778928441,0.11730809164515273,0.3043826461230783,0
1992-09-30,255.113,1.191522501263238,0.08017692307692308,-0.0011623232328796737,0.11108417826264151,0.205552910644094,0
1992-12-31,268.33099999999996,1.1961587147791026,0.08192142857142856,0.0033966972667014168,0.10544734575315662,0.31675409828028167,0
1993-03-31,271.401,1.200680325264238,0.07723333333333333,0.0024612841262102504,0.09908361349758121,0.1898495245982284,0
1993-06-30,278.005,1.2044361791349558,0.07453076923076922,0.002562412071950404,0.09433025248536708,0.14286815758176188,0
1993-09-30,290.939,1.2129115941802497,0.07087692307692307,0.005385828489733777,0.08343176025702952,0.24130669388026074,0
1993-12-31,306.889,1.2212463600514674,0.07046428571428572,0.005495821051583777,0.08258898400364101,0.2501130691483853,0
1994-03-31,315.598,1.2303468825371027,0.07295833333333333,0.005456806253093675,0.08665100537217486,0.3057310650063994,0
1994-06-30,327.92900000000003,1.2379731933092668,0.08427692307692308,0.005181661621620304,0.10620109766071027,0.36025437982544267,0
1994-09-30,326.427,1.2466569775013416,0.08594285714285713,0.00537951672797006,0.10875829353550848,0.1949192441073086,0
1994-12-31,325.435,1.2529809811061277,0.09105384615384615,0.003580505881800769,0.12157025852700006,0.07601080154328807,0
1995-03-31,321.78700000000003,1.2584871358098006,0.08785384615384616,0.0032257602032593202,0.11638241586465267,0.02110960554585345,0
1995-06-30,313.45099999999996,1.2616439283835241,0.07917692307692306,0.0017450572473032694,0.10376386544568944,-0.037688575370267846,0
1995-09-30,326.393,1.267921048930285,0.07696153846153846,0.004185399626628576,0.09548862187926412,-0.00010411753034575549,0
1995-12-31,334.645,1.275703636562534,0.07339230769230769,0.004785537233393071,0.0885188549751436,0.031482835365428105,0
1996-03-31,344.725,1.2816942495324717,0.07272307692307692,0.0038226455939225504,0.08910609079695665,0.09349030514852487,0
1996-06-30,361.399,1.2910604426802523,0.08102307692307693,0.005647880291538593,0.09970647765219753,0.27617955245495746,0
1996-09-30,364.315,1.2989003318278662,0.08146923076923077,0.004500414729921992,0.10259270176364026,0.18149219972470487,0
1996-12-31,361.806,1.3060682304771136,0.07703076923076924,0.004307924693131326,0.09538422224289728,0.11059949598382013,0
1997-03-31,365.35900000000004,1.3161532971812864,0.07793076923076923,0.005933027759020396,0.09397577655443677,0.07511985299615702,0
1997-06-30,372.277,1.3265352899196217,0.07926923076923079,0.006071196682928548,0.09596729627793765,0.03371364101752893,0
1997-09-30,378.952,1.3379330822485116,0.0747,0.006718215547380879,0.08729040896742996,0.04675993291255627,0
1997-12-31,385.754,1.3541546203253683,0.07205384615384615,0.009557694478251819,0.07830502865589767,0.08512040519373916,0
1998-03-31,394.846,1.3760437991946535,0.0705,0.011933861557049646,0.07208253002628125,0.1097825618533768,0
1998-06-30,411.33,1.3969640615314096,0.07097692307692308,0.012309678237823644,0.07220191891917548,0.15679049781846724,0
