"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"1954:Q4",  1484146,536.35,  1607238,580.83,  123092, 44.48,  520881,188.24, 1086357,392.59,   75356,27.23,  35963,13.00,  11773, 4.25,  337554,121.99, 138705,50.13,  44622,16.13,  166077,60.02,  222895, 80.55,    5992, 2.17,  156554, 56.58,  333830,120.64,  201009, 72.64,   17176,    1751,    8214,   7211,  276713
"1954:Q3",  1466969,539.77,  1584732,583.10,  117763, 43.33,  510852,187.97, 1073880,395.13,   72336,26.62,  34242,12.60,  11185, 4.12,  329781,121.34, 136936,50.39,  44135,16.24,  162931,59.95,  221823, 81.62,    5313, 1.95,  152675, 56.18,  331714,122.05,  199424, 73.38,   36222,   18599,    9571,   8052,  271778
"1954:Q2",  1430747,530.26,  1545059,572.63,  114312, 42.37,  501393,185.82, 1043666,386.80,   69614,25.80,  34006,12.60,  10692, 3.96,  320732,118.87, 137066,50.80,  43595,16.16,  157093,58.22,  203782, 75.53,    4755, 1.76,  148893, 55.18,  330346,122.43,  198797, 73.68,   21679,   15580,    4329,   1770,  269820
"1954:Q1",  1409068,522.01,  1519564,562.95,  110496, 40.93,  498300,184.60, 1021264,378.34,   67351,24.95,  32744,12.13,  10401, 3.85,  316592,117.29, 138371,51.26,  43337,16.05,  155136,57.47,  188593, 69.87,    4364, 1.62,  144986, 53.71,  330440,122.42,  197745, 73.26,   22794,   11386,    1566,   9842,  269931
"1953:Q4",  1386274,518.78,  1496898,560.18,  110624, 41.40,  493420,184.65, 1003478,375.53,   65938,24.68,  34614,12.95,  10072, 3.77,  315055,117.90, 135127,50.57,  43238,16.18,  154703,57.89,  177572, 66.45,    3999, 1.50,  141122, 52.81,  330219,123.58,  195863, 73.30,   20833,   14119,   -1413,   8127,  267217
"1953:Q3",  1365441,511.48,  1472670,551.65,  107229, 40.17,  493031,184.69,  979639,366.97,   64205,24.05,  33354,12.49,   9670, 3.62,  316348,118.50, 133383,49.96,  43300,16.22,  151424,56.72,  163848, 61.38,    3604, 1.35,  137197, 51.39,  328686,123.12,  194880, 73.00,   14696,   -4735,   10094,   9337,  266957
"1953:Q2",  1350745,506.28,  1455444,545.52,  104699, 39.24,  481964,180.65,  973480,364.87,   62225,23.32,  32672,12.25,   9802, 3.67,  306680,114.95, 132485,49.66,  42799,16.04,  147207,55.18,  168582, 63.19,    3605, 1.35,  133197, 49.92,  327735,122.84,  193154, 72.40,    2264,   -9308,    6851,   4721,  266799
"1953:Q1",  1348482,512.79,  1448689,550.90,  100207, 38.11,  472930,179.84,  975759,371.06,   60006,22.82,  30901,11.75,   9300, 3.54,  300182,114.15, 130376,49.58,  42372,16.11,  147804,56.21,  177857, 67.63,    3638, 1.38,  129203, 49.13,  329102,125.15,  188155, 71.55,   10261,   -3307,    5492,   8076,  262968
"1952:Q4",  1338221,516.88,  1436111,554.69,   97890, 37.81,  463972,179.21,  972139,375.48,   58416,22.56,  30522,11.79,   8952, 3.46,  294752,113.85, 126974,49.04,  42246,16.32,  145156,56.07,  181107, 69.95,    3695, 1.43,  125432, 48.45,  330659,127.71,  186090, 71.88,    3972,  -10844,   10712,   4104,  258904
"1952:Q3",  1334249,527.25,  1427690,564.18,   93441, 36.92,  453482,179.20,  974208,384.98,   56640,22.38,  27965,11.05,   8836, 3.49,  284584,112.46, 127233,50.28,  41665,16.46,  140790,55.64,  192065, 75.90,    3581, 1.42,  121630, 48.06,  332820,131.52,  183322, 72.44,   12812,    -342,    1429,  11725,  253057
"1952:Q2",  1321437,536.20,  1411848,572.88,   90411, 36.69,  448860,182.13,  962988,390.75,   54798,22.24,  26878,10.91,   8735, 3.54,  283505,115.04, 124058,50.34,  41297,16.76,  136445,55.36,  192556, 78.13,    3432, 1.39,  117895, 47.84,  332502,134.92,  180158, 73.10,   22561,    6282,   10848,   5431,  246447
"1952:Q1",  1298876,533.62,  1385100,569.04,   86224, 35.42,  437146,179.59,  947954,389.45,   53066,21.80,  24597,10.11,   8561, 3.52,  273170,112.23, 123241,50.63,  40735,16.74,  135920,55.84,  186383, 76.57,    3323, 1.37,  114125, 46.89,  331585,136.23,  176618, 72.56,   18305,    1785,    2943,  13577,  243408
