,Investimento residencial,Preço dos imóveis,Taxa de juros,Duráveis,Crédito,gDuráveis,gCrédito,Inflação,gZ,Taxa Própria,Crise
1987-03-31,246.672,0.9920433333333334,0.06541840423710091,418.49699999999996,-1.18419,,,,,,0
1987-06-30,249.69299999999998,1.010688081146878,0.07129463831301751,439.101,3.8999433333333333,,,,,,0
1987-09-30,249.96900000000002,1.0311300368190672,0.07192483680096995,460.541,4.4378866666666665,,,,,,0
1987-12-31,252.825,1.0495385801711896,0.07363460508787917,449.949,3.3692066666666665,,,,,,0
1988-03-31,250.115,1.0670639242327777,0.07002539234253947,470.439,4.794146666666666,0.20000804257061633,-0.15450715151870079,0.10085966215813488,0.014708009761224532,-0.028009264827768776,0
1988-06-30,255.51,1.0850770818559985,0.0713684855467846,473.223,4.162663333333334,0.10448317551698441,0.08702489568513279,0.09740135558233987,0.025429518785123624,-0.02372228711321467,0
1988-09-30,257.495,1.1061300882001275,0.0719922349857851,470.389,3.25283,0.023173046397528464,-0.12111224929522002,0.09593259724047525,0.03372367253848445,-0.021844739644546696,0
1988-12-31,261.681,1.12558614698986,0.07160001846889329,486.162,2.9900233333333333,0.10938198604376406,-0.07702991357213936,0.09546380176232526,0.03997578141709188,-0.0217841824212186,0
1989-03-31,260.884,1.1457405494046662,0.07343917100487299,486.45099999999996,3.66686,0.03869748158581066,-0.11512112674668792,0.09762168722181659,0.05066499304245371,-0.02203174053361845,0
1989-06-30,255.792,1.1598922775715979,0.07262118094684816,493.344,4.402926666666667,0.049930411329965715,0.07184391565817436,0.08961761249140202,0.0011082367539635416,-0.015598528648680388,0
1989-09-30,255.498,1.1685137404134986,0.06974184033763262,505.63800000000003,2.864993333333333,0.0996789761915535,-0.07997725121479812,0.06984486400356182,-0.007535607510986973,-9.629776184894023e-05,0
1989-12-31,251.88400000000001,1.1785729695423155,0.06882705285781446,491.885,4.26336,0.012302884819029409,2.266326917324599,0.05625148307876823,-0.03271019916078169,0.011905848162589994,0
1990-03-31,256.004,1.1869376884044092,0.07031961553289398,515.394,1.3786366666666667,0.07456760650752171,-0.14781023209783595,0.041180839435092084,-0.017464492157536208,0.027986277689869388,0
1990-06-30,246.896,1.190424271650181,0.07120661284647582,498.407,1.3815533333333334,0.01066493881132854,-0.14925639123320875,0.029064309993318535,-0.030669148923735345,0.040952059500956706,0
1990-09-30,234.507,1.1860442193546827,0.07018729168817806,493.57,2.5144966666666666,-0.021874430408694065,-0.0813026197231993,0.015871036149189683,-0.06182113103408813,0.053467668243483146,0
1990-12-31,221.268,1.1771454730145914,0.06951434388295008,480.94699999999995,-0.7352166666666667,-0.020499671928180956,-0.1534895162768216,-0.0012057453845632526,-0.08096837745763655,0.07080546262727805,0
1991-03-31,210.28900000000002,1.1666959930364689,0.06732221874005323,471.691,0.04041666666666669,-0.06327032496068598,-0.1525935755772964,-0.01601744508334596,-0.10115938221178591,0.08469628186696698,0
1991-06-30,217.78799999999998,1.1672094809960816,0.06742684307316647,475.24800000000005,-0.7857233333333333,-0.03935196356143668,-0.15416398824617228,-0.018155226260922416,-0.07939941979092496,0.08716456167319975,0
1991-09-30,226.483,1.1726011045720173,0.06620612307842215,484.336,-1.7017766666666667,-0.01746707010901945,-0.154244637589261,-0.010869404707140784,-0.03023311728062362,0.07792249896257886,0
1991-12-31,230.055,1.1714611613016763,0.06326221495363286,477.45599999999996,-0.9534566666666667,-0.007065719732746369,0.94951880563825,-0.004742950963789269,0.046137176243947135,0.06832924819098452,0
