DATE,TCU
1967-01-01,88.1495666666666667
1967-04-01,86.6086000000000000
1967-07-01,86.0431333333333333
1967-10-01,87.1866000000000000
1968-01-01,87.3341333333333333
1968-04-01,87.4652666666666667
1968-07-01,87.1154000000000000
1968-10-01,87.4160000000000000
1969-01-01,88.1249666666666667
1969-04-01,87.5610666666666667
1969-07-01,87.6716333333333333
1969-10-01,86.2077333333333333
1970-01-01,83.2832333333333333
1970-04-01,82.0504666666666667
1970-07-01,80.9987666666666667
1970-10-01,78.5171666666666667
1971-01-01,79.3598666666666667
1971-04-01,79.4665000000000000
1971-07-01,79.1070333333333333
1971-10-01,80.3309333333333333
1972-01-01,83.1200000000000000
1972-04-01,84.1031333333333333
1972-07-01,84.5176333333333333
1972-10-01,86.7111666666666667
1973-01-01,88.3283000000000000
1973-04-01,88.1804666666666667
1973-07-01,88.0408000000000000
1973-10-01,88.5083000000000000
1974-01-01,86.9784333333333333
1974-04-01,86.3772666666666667
1974-07-01,85.4824333333333333
1974-10-01,81.6246333333333333
1975-01-01,75.8373000000000000
1975-04-01,74.4374000000000000
1975-07-01,75.8542000000000000
1975-10-01,77.0709666666666667
1976-01-01,78.9468000000000000
1976-04-01,79.4218666666666667
1976-07-01,79.9459000000000000
1976-10-01,80.8307000000000000
1977-01-01,81.9174666666666667
1977-04-01,83.8201333333333333
1977-07-01,84.0546666666666667
1977-10-01,83.8872333333333333
1978-01-01,82.9335000000000000
1978-04-01,85.5387333333333333
1978-07-01,85.5650000000000000
1978-10-01,86.3923333333333333
1979-01-01,86.0931333333333333
1979-04-01,85.2774000000000000
1979-07-01,84.4555000000000000
1979-10-01,84.2441666666666667
1980-01-01,84.0864000000000000
1980-04-01,80.0506666666666667
1980-07-01,78.2398000000000000
1980-10-01,80.7162000000000000
1981-01-01,80.3280000000000000
1981-04-01,79.9667333333333333
1981-07-01,80.1287000000000000
1981-10-01,77.8116333333333333
1982-01-01,75.7049000000000000
1982-04-01,74.3121333333333333
1982-07-01,72.9284333333333333
1982-10-01,71.3379333333333333
1983-01-01,72.0330000000000000
1983-04-01,73.5502000000000000
1983-07-01,75.9805000000000000
1983-10-01,77.8187000000000000
1984-01-01,79.8325000000000000
1984-04-01,80.6800666666666667
1984-07-01,80.7563333333333333
1984-10-01,80.2302666666666667
1985-01-01,79.8934666666666667
1985-04-01,79.3572333333333333
1985-07-01,78.7184666666666667
1985-10-01,78.7600666666666667
1986-01-01,78.9312666666666667
1986-04-01,78.2242000000000000
1986-07-01,78.2937666666666667
1986-10-01,78.8968333333333333
1987-01-01,79.5409666666666667
1987-04-01,80.4555000000000000
1987-07-01,81.4917333333333333
1987-10-01,83.1006666666666667
1988-01-01,83.6231000000000000
1988-04-01,84.2199000000000000
1988-07-01,84.4312666666666667
1988-10-01,84.8565000000000000
1989-01-01,84.9195333333333333
1989-04-01,84.1620333333333333
1989-07-01,83.1068666666666667
1989-10-01,82.8657000000000000
1990-01-01,82.8468333333333333
1990-04-01,82.9433000000000000
1990-07-01,82.8448666666666667
1990-10-01,81.1964666666666667
1991-01-01,79.3659666666666667
1991-04-01,79.5631333333333333
1991-07-01,80.3791666666666667
1991-10-01,80.2238000000000000
1992-01-01,79.6894333333333333
1992-04-01,80.5943666666666667
1992-07-01,80.6850666666666667
1992-10-01,81.0609333333333333
1993-01-01,81.3685666666666667
1993-04-01,81.2070000000000000
1993-07-01,81.1811333333333333
1993-10-01,81.9910333333333333
1994-01-01,82.4679333333333333
1994-04-01,83.3018000000000000
1994-07-01,83.6028333333333333
1994-10-01,84.5121000000000000
1995-01-01,84.5263000000000000
1995-04-01,83.9136333333333333
1995-07-01,83.7470000000000000
1995-10-01,83.4384333333333333
1996-01-01,82.9034666666666667
1996-04-01,83.5202000000000000
1996-07-01,83.4192333333333333
1996-10-01,83.3860666666666667
1997-01-01,83.7252333333333333
1997-04-01,83.6121666666666667
1997-07-01,84.0687000000000000
1997-10-01,84.5830333333333333
1998-01-01,83.8748333333333333
1998-04-01,82.8343666666666667
1998-07-01,82.0326666666666667
1998-10-01,81.9776333333333333
1999-01-01,81.7695666666666667
1999-04-01,81.5700000000000000
1999-07-01,81.3884333333333333
1999-10-01,81.9385333333333333
2000-01-01,81.9008333333333333
2000-04-01,82.0692666666666667
2000-07-01,81.1923000000000000
2000-10-01,80.2428666666666667
2001-01-01,78.4640333333333333
2001-04-01,76.7979000000000000
2001-07-01,75.1626333333333333
2001-10-01,73.8879000000000000
2002-01-01,74.0525333333333333
2002-04-01,74.9469333333333333
2002-07-01,75.2730666666666667
2002-10-01,75.2613333333333333
2003-01-01,75.7617000000000000
2003-04-01,75.3401666666666667
2003-07-01,75.8952333333333333
2003-10-01,76.6819000000000000
2004-01-01,77.2506333333333333
2004-04-01,77.7206666666666667
2004-07-01,78.1521666666666667
2004-10-01,79.1897333333333333
2005-01-01,80.1522000000000000
2005-04-01,80.2895333333333333
2005-07-01,79.6163000000000000
2005-10-01,80.0626000000000000
2006-01-01,80.4896666666666667
2006-04-01,80.6264666666666667
2006-07-01,80.5035333333333333
2006-10-01,80.1602333333333333
2007-01-01,80.3268333333333333
2007-04-01,80.8197666666666667
2007-07-01,80.7146333333333333
2007-10-01,80.9004000000000000
2008-01-01,80.7292666666666667
2008-04-01,79.6834333333333333
2008-07-01,77.0443666666666667
2008-10-01,73.5731666666666667
2009-01-01,69.2234000000000000
2009-04-01,67.1237000000000000
2009-07-01,68.2016333333333333
2009-10-01,69.5553666666666667
2010-01-01,71.3455000000000000
2010-04-01,73.2127000000000000
